origen,destino,tipoRelación,predicado,dirección,fuenteEvidencia,confianza,nota
ZAC-112-carta,ORG0001,correspondencia,prov:wasAttributedTo,dirigida,transcripción del ítem,confirmado,
ZAC-112-carta,PER0001,destinatario,crm:P02_has_range,dirigida,ZAC recopila el ítem en el álbum,confirmado,ZAC receptora del envío
ZAC-220/221-carta,PER0006,correspondencia,prov:wasAttributedTo,dirigida,transcripción del ítem,confirmado,
ZAC-220/221-carta,PER0001,destinatario,crm:P02_has_range,dirigida,ZAC recopila el ítem en el álbum,confirmado,ZAC receptora del envío
ZAC-103-tarjeta,PER0004,correspondencia,prov:wasAttributedTo,dirigida,transcripción del ítem,confirmado,
ZAC-103-tarjeta,PER0001,destinatario,crm:P02_has_range,dirigida,ZAC recopila el ítem en el álbum,confirmado,ZAC receptora del envío
ZAC-109/111-carta,PER0002,mención documental,prov:wasAttributedTo,dirigida,transcripción del ítem,confirmado,
ZAC-109/111-carta,PER0001,recopilación,prov:wasAttributedTo,dirigida,ZAC recopila el ítem en el álbum,confirmado,ZAC selecciona y pega el ítem en el álbum
ZAC-014-carta,PER0002,correspondencia,prov:wasAttributedTo,dirigida,transcripción del ítem,confirmado,
ZAC-014-carta,PER0001,destinatario,crm:P02_has_range,dirigida,ZAC recopila el ítem en el álbum,confirmado,ZAC receptora del envío
ZAC-242-carnet,ORG0002,afiliación,prov:wasAttributedTo,dirigida,transcripción del ítem,confirmado,
ZAC-242-carnet,PER0001,recopilación,prov:wasAttributedTo,dirigida,ZAC recopila el ítem en el álbum,confirmado,ZAC selecciona y pega el ítem en el álbum
ZAC-245/249-carta,PER0003,entrevista epistolar,prov:wasAttributedTo,dirigida,transcripción del ítem,confirmado,
ZAC-245/249-carta,PER0001,destinatario,crm:P02_has_range,dirigida,ZAC recopila el ítem en el álbum,confirmado,ZAC receptora del envío
ZAC-256/258-carta,PER0005,correspondencia,prov:wasAttributedTo,dirigida,transcripción del ítem,confirmado,
ZAC-256/258-carta,PER0001,destinatario,crm:P02_has_range,dirigida,ZAC recopila el ítem en el álbum,confirmado,ZAC receptora del envío
